ID,CALL,CN,TYPE
06A03BE8,N114JS,JS,ASW-24
06A39A5F,N331JS,JS,ASH-31 MI
06C04078,C-FYKT,JS,ASW-28 18
06C05D69,C-GJJS,JS,SGS 1-35
06C42710,N197HB,JS,PW-5
06D001C6,F-CAIF,JS,LAK-17 A
06D00CB7,OH-907,JS,Discus 2
06D00CCF,D-7859,JS,Mosquito
06D020C0,F-CAIF,JS,LAK-17 A
06D025F2,OK 7575,JS,Cirrus Std
06D027C4,F-CEJS,JS,Ka-8
06D02843,D-KMJS,JS,JS-3 18M RES
06DD86F2,D-8658,JS,ASW-15
06DD8DC5,OK 2422,JS,DG-100
06DD9746,D-KDSP,JS,Discus 2t
06DD9B27,F-GTJS,JS,DR-400
06DDA529,D-5826,JS,LS-8 18
06DDA866,S5-3127,JS,ASW-20
06DDB1F1,D-5294,JS,Twin Astir III
06DDC407,HB-2291,JS,DG-808 B
06DDDDE9,S5-3127,JS,ASW-20
06DDE81F,OKVUA07,JS,Banjo MH
06DF1618,VH-FJS,JS,JS-1 Revelation
06DF2377,D-KDNA,JS,JS-3 18M RES
06F71203,S5-3127,JS,ASW-20
063EC9C8,D-KRJK,JK,Ventus 3M
063ED16E,D-KUGS,JK,DG-1000
06A7AD15,N594JK,JK,SZD-59 Acro
06AB27E6,N818JK,JK,LS-8 18
06CDC57C,SP-3305,JK,SZD-51 Junior
06D004BF,D-3118,JK,LS-8a
06D006AC,G-KMJK,JK,DG-808 C
06D00751,F-CEJK,JK,ASK-13
06D02919,D-KRJK,JK,Ventus 3M
06D02AC7,F-CEJK,JK,ASK-13
06DD86F4,D-7344,JK,Cirrus Std
06DDD2FB,SP-4178,JK,LS-1 f
06DDD54F,F-CMJK,JK,Janus Ce
06DDEB7A,OKSUQ51,JK,Taurus
06DDED39,OK-2131,JK,Ventus cM
06DDF02E,OK-2649,JK,ASW-20
06DDFA27,F-CHJK,JK,DG-500
06E4CF55,OH-356,JK,Ka-6 e
06000368,C-GORE,GP,PIK-20 B
061E9DC8,N56GP,GP,SZD-55
063D2A4B,D-EOGP,GP,Cessna 172
063E5C9B,D-KAGP,GP,SF-25
063EEAA6,OO-YGP,GP,Duo Discus
064B0897,HB-DGP,GP,Towplane
06506F3B,S5-PGP,GP,WT9 Dynamic
06C06B5F,C-GORE,GP,PIK-20 B
06D00999,NO,GP,GP 15 SE Jeta
06D01019,D-KPGP,GP,A380
06D015FB,G-CJVM,GP,ASW-27
06D01CCB,F-CHFM,GP,Pegase
06D02B34,OK-5363,GP,Cirrus Std
06DD99A7,D-0404,GP,LS-4
06DDDA11,SP-3919,GP,Pegase
06DDE217,F-CHDH,GP,Pegase
06DDEB3D,,GP,Ventus 2cxM
06DDFB5B,F-CEGP,GP,ASW-15
06009049,D-7781,TC,Twin Astir I
060A025A,,TC,Paraglider
0611332B,,TC,Paraglider
062013F1,,TC,Paraglider
062EDC12,D-LARY,TC,Nimbus 2
063E3813,LY-GTC,TC,ASK-21
064B50C3,HB3100,TC,Janus C
06C00000,D-KCTC,TC,ASG-29E
06C82A16,ZK-GTC,TC,AS 33
